customer_id,day,predicted_activity
1009078,Day +1,0.02
1009078,Day +2,0.01
1009078,Day +3,0.0
1009078,Day +4,0.01
1009078,Day +5,0.01
1009078,Day +6,0.01
1009078,Day +7,0.0
1090330,Day +1,0.02
1090330,Day +2,0.01
1090330,Day +3,0.0
1090330,Day +4,0.01
1090330,Day +5,0.01
1090330,Day +6,0.01
1090330,Day +7,0.0
1090334,Day +1,0.02
1090334,Day +2,0.01
1090334,Day +3,0.0
1090334,Day +4,0.01
1090334,Day +5,0.01
1090334,Day +6,0.01
1090334,Day +7,0.0
1090464,Day +1,0.02
1090464,Day +2,0.01
1090464,Day +3,0.0
1090464,Day +4,0.01
1090464,Day +5,0.01
1090464,Day +6,0.01
1090464,Day +7,0.0
1090709,Day +1,0.02
1090709,Day +2,0.01
1090709,Day +3,0.0
1090709,Day +4,0.01
1090709,Day +5,0.01
1090709,Day +6,0.01
1090709,Day +7,0.0
1092214,Day +1,0.02
1092214,Day +2,0.01
1092214,Day +3,0.0
1092214,Day +4,0.01
1092214,Day +5,0.01
1092214,Day +6,0.01
1092214,Day +7,0.0
1092539,Day +1,0.02
1092539,Day +2,0.01
1092539,Day +3,0.0
1092539,Day +4,0.01
1092539,Day +5,0.01
1092539,Day +6,0.01
1092539,Day +7,0.0
1009305,Day +1,0.02
1009305,Day +2,0.01
1009305,Day +3,0.0
1009305,Day +4,0.01
1009305,Day +5,0.01
1009305,Day +6,0.0
1009305,Day +7,0.0
1093123,Day +1,0.02
1093123,Day +2,0.01
1093123,Day +3,0.0
1093123,Day +4,0.01
1093123,Day +5,0.01
1093123,Day +6,0.01
1093123,Day +7,0.0
1093222,Day +1,0.02
1093222,Day +2,0.01
1093222,Day +3,0.0
1093222,Day +4,0.01
1093222,Day +5,0.01
1093222,Day +6,0.01
1093222,Day +7,0.0
1093249,Day +1,0.02
1093249,Day +2,0.01
1093249,Day +3,0.0
1093249,Day +4,0.01
1093249,Day +5,0.01
1093249,Day +6,0.01
1093249,Day +7,0.0
1093437,Day +1,0.02
1093437,Day +2,0.01
1093437,Day +3,0.0
1093437,Day +4,0.01
1093437,Day +5,0.01
1093437,Day +6,0.01
1093437,Day +7,0.0
109394,Day +1,0.02
109394,Day +2,0.01
109394,Day +3,0.0
109394,Day +4,0.01
109394,Day +5,0.01
109394,Day +6,0.0
109394,Day +7,0.0
1094046,Day +1,0.02
1094046,Day +2,0.01
1094046,Day +3,0.0
1094046,Day +4,0.01
1094046,Day +5,0.01
1094046,Day +6,0.01
1094046,Day +7,0.0
1095507,Day +1,0.02
1095507,Day +2,0.01
1095507,Day +3,0.0
1095507,Day +4,0.01
1095507,Day +5,0.01
1095507,Day +6,0.01
1095507,Day +7,0.0
1096030,Day +1,0.02
1096030,Day +2,0.01
1096030,Day +3,0.0
1096030,Day +4,0.01
1096030,Day +5,0.01
1096030,Day +6,0.01
1096030,Day +7,0.0
1096879,Day +1,0.02
1096879,Day +2,0.01
1096879,Day +3,0.0
1096879,Day +4,0.01
1096879,Day +5,0.01
1096879,Day +6,0.01
1096879,Day +7,0.0
1097131,Day +1,0.02
1097131,Day +2,0.01
1097131,Day +3,0.0
1097131,Day +4,0.01
1097131,Day +5,0.01
1097131,Day +6,0.01
1097131,Day +7,0.0
1097144,Day +1,0.02
1097144,Day +2,0.01
1097144,Day +3,0.0
1097144,Day +4,0.01
1097144,Day +5,0.01
1097144,Day +6,0.01
1097144,Day +7,0.0
1097582,Day +1,0.02
1097582,Day +2,0.01
1097582,Day +3,0.0
1097582,Day +4,0.01
1097582,Day +5,0.01
1097582,Day +6,0.01
1097582,Day +7,0.0
1097636,Day +1,0.02
1097636,Day +2,0.01
1097636,Day +3,0.0
1097636,Day +4,0.01
1097636,Day +5,0.01
1097636,Day +6,0.01
1097636,Day +7,0.0
1009886,Day +1,0.02
1009886,Day +2,0.01
1009886,Day +3,0.0
1009886,Day +4,0.01
1009886,Day +5,0.01
1009886,Day +6,0.01
1009886,Day +7,0.0
1098118,Day +1,0.02
1098118,Day +2,0.01
1098118,Day +3,0.0
1098118,Day +4,0.01
