customer_id,day,predicted_activity
1087747,Day +1,0.02
1087747,Day +2,0.01
1087747,Day +3,0.0
1087747,Day +4,0.01
1087747,Day +5,0.01
1087747,Day +6,0.01
1087747,Day +7,0.0
1087748,Day +1,0.02
1087748,Day +2,0.01
1087748,Day +3,0.0
1087748,Day +4,0.01
1087748,Day +5,0.01
1087748,Day +6,0.01
1087748,Day +7,0.0
1087749,Day +1,0.02
1087749,Day +2,0.01
1087749,Day +3,0.0
1087749,Day +4,0.01
1087749,Day +5,0.01
1087749,Day +6,0.01
1087749,Day +7,0.0
108775,Day +1,0.02
108775,Day +2,0.01
108775,Day +3,0.0
108775,Day +4,0.01
108775,Day +5,0.01
108775,Day +6,0.01
108775,Day +7,0.0
1087750,Day +1,0.02
1087750,Day +2,0.01
1087750,Day +3,0.0
1087750,Day +4,0.01
1087750,Day +5,0.01
1087750,Day +6,0.01
1087750,Day +7,0.0
1087751,Day +1,0.02
1087751,Day +2,0.01
1087751,Day +3,0.0
1087751,Day +4,0.01
1087751,Day +5,0.01
1087751,Day +6,0.01
1087751,Day +7,0.0
1087752,Day +1,0.02
1087752,Day +2,0.01
1087752,Day +3,0.0
1087752,Day +4,0.01
1087752,Day +5,0.01
1087752,Day +6,0.01
1087752,Day +7,0.0
1087753,Day +1,0.02
1087753,Day +2,0.01
1087753,Day +3,0.0
1087753,Day +4,0.01
1087753,Day +5,0.01
1087753,Day +6,0.01
1087753,Day +7,0.0
1087754,Day +1,0.02
1087754,Day +2,0.01
1087754,Day +3,0.0
1087754,Day +4,0.01
1087754,Day +5,0.01
1087754,Day +6,0.01
1087754,Day +7,0.0
1087755,Day +1,0.02
1087755,Day +2,0.01
1087755,Day +3,0.0
1087755,Day +4,0.01
1087755,Day +5,0.01
1087755,Day +6,0.01
1087755,Day +7,0.0
1087756,Day +1,0.02
1087756,Day +2,0.01
1087756,Day +3,0.0
1087756,Day +4,0.01
1087756,Day +5,0.01
1087756,Day +6,0.01
1087756,Day +7,0.0
1087757,Day +1,0.02
1087757,Day +2,0.01
1087757,Day +3,0.0
1087757,Day +4,0.01
1087757,Day +5,0.01
1087757,Day +6,0.01
1087757,Day +7,0.0
1087758,Day +1,0.02
1087758,Day +2,0.01
1087758,Day +3,0.0
1087758,Day +4,0.01
1087758,Day +5,0.01
1087758,Day +6,0.01
1087758,Day +7,0.0
1087759,Day +1,0.02
1087759,Day +2,0.01
1087759,Day +3,0.0
1087759,Day +4,0.01
1087759,Day +5,0.01
1087759,Day +6,0.01
1087759,Day +7,0.0
108776,Day +1,0.02
108776,Day +2,0.01
108776,Day +3,0.0
108776,Day +4,0.01
108776,Day +5,0.01
108776,Day +6,0.01
108776,Day +7,0.0
1087760,Day +1,0.02
1087760,Day +2,0.01
1087760,Day +3,0.0
1087760,Day +4,0.01
1087760,Day +5,0.01
1087760,Day +6,0.01
1087760,Day +7,0.0
1087761,Day +1,0.02
1087761,Day +2,0.01
1087761,Day +3,0.0
1087761,Day +4,0.01
1087761,Day +5,0.01
1087761,Day +6,0.01
1087761,Day +7,0.0
1087762,Day +1,0.02
1087762,Day +2,0.01
1087762,Day +3,0.0
1087762,Day +4,0.01
1087762,Day +5,0.01
1087762,Day +6,0.01
1087762,Day +7,0.0
1087763,Day +1,0.02
1087763,Day +2,0.01
1087763,Day +3,0.0
1087763,Day +4,0.01
1087763,Day +5,0.01
1087763,Day +6,0.01
1087763,Day +7,0.0
1087764,Day +1,0.02
1087764,Day +2,0.01
1087764,Day +3,0.0
1087764,Day +4,0.01
1087764,Day +5,0.01
1087764,Day +6,0.01
1087764,Day +7,0.0
1087765,Day +1,0.02
1087765,Day +2,0.01
1087765,Day +3,0.0
1087765,Day +4,0.01
1087765,Day +5,0.01
1087765,Day +6,0.01
1087765,Day +7,0.0
1087766,Day +1,0.02
1087766,Day +2,0.01
1087766,Day +3,0.0
1087766,Day +4,0.01
1087766,Day +5,0.01
1087766,Day +6,0.01
1087766,Day +7,0.0
1087767,Day +1,0.02
1087767,Day +2,0.01
1087767,Day +3,0.0
1087767,Day +4,0.01
1087767,Day +5,0.01
1087767,Day +6,0.01
1087767,Day +7,0.0
1087768,Day +1,0.02
1087768,Day +2,0.01
1087768,Day +3,0.0
1087768,Day +4,0.01
1087768,Day +5,0.01
1087768,Day +6,0.01
1087768,Day +7,0.0
1087769,Day +1,0.02
1087769,Day +2,0.01
1087769,Day +3,0.0
1087769,Day +4,0.01
1087769,Day +5,0.01
1087769,Day +6,0.01
1087769,Day +7,0.0
108777,Day +1,0.02
108777,Day +2,0.01
108777,Day +3,0.0
108777,Day +4,0.01
108777,Day +5,0.01
108777,Day +6,0.01
108777,Day +7,0.0
1087770,Day +1,0.02
1087770,Day +2,0.01
1087770,Day +3,0.0
1087770,Day +4,0.01
1087770,Day +5,0.01
1087770,Day +6,0.01
1087770,Day +7,0.0
1087771,Day +1,0.02
1087771,Day +2,0.01
1087771,Day +3,0.0
1087771,Day +4,0.01
1087771,Day +5,0.01
1087771,Day +6,0.01
1087771,Day +7,0.0
1087772,Day +1,0.02
1087772,Day +2,0.01
1087772,Day +3,0.0
1087772,Day +4,0.01
1087772,Day +5,0.01
1087772,Day +6,0.01
1087772,Day +7,0.0
1087773,Day +1,0.02
1087773,Day +2,0.01
1087773,Day +3,0.0
1087773,Day +4,0.01
1087773,Day +5,0.01
1087773,Day +6,0.01
1087773,Day +7,0.0
1087774,Day +1,0.02
1087774,Day +2,0.01
1087774,Day +3,0.0
1087774,Day +4,0.01
1087774,Day +5,0.01
1087774,Day +6,0.01
1087774,Day +7,0.0
1087775,Day +1,0.02
1087775,Day +2,0.01
1087775,Day +3,0.0
1087775,Day +4,0.01
1087775,Day +5,0.01
1087775,Day +6,0.01
1087775,Day +7,0.0
1087776,Day +1,0.02
1087776,Day +2,0.01
1087776,Day +3,0.0
1087776,Day +4,0.01
1087776,Day +5,0.01
1087776,Day +6,0.01
1087776,Day +7,0.0
1087777,Day +1,0.02
1087777,Day +2,0.01
1087777,Day +3,0.0
1087777,Day +4,0.01
1087777,Day +5,0.01
1087777,Day +6,0.01
1087777,Day +7,0.0
1087778,Day +1,0.02
1087778,Day +2,0.01
1087778,Day +3,0.0
1087778,Day +4,0.01
1087778,Day +5,0.01
1087778,Day +6,0.01
1087778,Day +7,0.0
1087779,Day +1,0.02
1087779,Day +2,0.01
1087779,Day +3,0.0
1087779,Day +4,0.01
1087779,Day +5,0.01
1087779,Day +6,0.01
